MDM4;chr1;204485534;204527248
MYCN;chr2;16080672;16087126
GLI2;chr2;121493444;121750229
TACC3;chr4;1723248;1746898
FGFR3;chr4;1795020;1810594
PDGFRA;chr4;55095460;55164412
MYB;chr6;135502446;135540310
EGFR;chr7;55086710;55279321
CDK6;chr7;92234235;92465887
MET;chr7;116312250;116438431
KIAA1549;chr7;138516126;138666135
BRAF;chr7;140413128;140624729
FGFR1;chr8;38268661;38326153
TACC1;chr8;38586100;38710546
MYBL1;chr8;67474410;67525453
MYC;chr8;128747680;128755197
CDKN2A;chr9;21967751;21995323
CDKN2B;chr9;22002902;22009312
PTCH1;chr9;98205262;98279253
PTEN;chr10;89623382;89731687
MGMT;chr10;131265505;131569247
CCND1;chr11;69455924;69469242
CCND2;chr12;4382928;4414519
CDK4;chr12;58141510;58146093
MDM2;chr12;69201952;69244466
RB1;chr13;48877887;49056026
TP53;chr17;7571739;7590808
NF1;chr17;29421945;29704695
ERBB2;chr17;37844347;37884911
PPM1D;chr17;58677554;58743641
C19MC;chr19;54181623;54255727
SMARCB1;chr22;24129153;24180196
NF2;chr22;29999545;30094589
