chr,start,stop,length,Type,Gene,New,Target,Tiling
chr2,29449941,29450438,497,Intron,ALK,,NM_004304:intron17,2X
chr2,29448432,29449786,1354,Intron,ALK,,NM_004304:intron18,2X
chr2,29446395,29448326,1931,Intron,ALK,,NM_004304:intron19,2X
chr2,29416090,29416788,698,Exon,ALK,,NM_004304:exon29,1X
chr2,29419636,29419726,90,Exon,ALK,,NM_004304:exon28,1X
chr2,29420408,29420542,134,Exon,ALK,,NM_004304:exon27,1X
chr2,29430037,29430138,101,Exon,ALK,,NM_004304:exon26,1X
chr2,29432652,29432744,92,Exon,ALK,,NM_004304:exon25,1X
chr2,29436850,29436947,97,Exon,ALK,,NM_004304:exon24,1X
chr2,29443572,29443701,129,Exon,ALK,,NM_004304:exon23,1X
chr2,29445210,29445274,64,Exon,ALK,,NM_004304:exon22,1X
chr2,29445383,29445473,90,Exon,ALK,,NM_004304:exon21,1X
chr2,29446208,29446394,186,Exon,ALK,,NM_004304:exon20,1X
chr2,29448327,29448431,104,Exon,ALK,,NM_004304:exon19,1X
chr2,29449788,29449940,152,Exon,ALK,,NM_004304:exon18,1X
chr2,29450440,29450538,98,Exon,ALK,,NM_004304:exon17,1X
chr2,29451750,29451932,182,Exon,ALK,,NM_004304:exon16,1X
chr2,29455170,29455314,144,Exon,ALK,,NM_004304:exon15,1X
chr2,29456431,29456562,131,Exon,ALK,,NM_004304:exon14,1X
chr2,29462546,29462696,150,Exon,ALK,,NM_004304:exon13,1X
chr2,29473971,29474133,162,Exon,ALK,,NM_004304:exon12,1X
chr2,29497965,29498093,128,Exon,ALK,,NM_004304:exon11,1X
chr2,29498268,29498362,94,Exon,ALK,,NM_004304:exon10,1X
chr2,29519754,29519923,169,Exon,ALK,,NM_004304:exon9,1X
chr2,29541170,29541270,100,Exon,ALK,,NM_004304:exon8,1X
chr2,29543617,29543748,131,Exon,ALK,,NM_004304:exon7,1X
chr2,29551216,29551347,131,Exon,ALK,,NM_004304:exon6,1X
chr2,29606598,29606725,127,Exon,ALK,,NM_004304:exon5,1X
chr2,29754781,29754982,201,Exon,ALK,,NM_004304:exon4,1X
chr2,29917716,29917880,164,Exon,ALK,,NM_004304:exon3,1X
